ym,category,role,matters_received,cases_filed,matters_terminated,cases_terminated,d_judg_us,d_settle,d_against,d_dismissed,d_other
1994-10,ALL,Defendant,4062,3761,73,3272,240,1,59,4,2968
1994-11,ALL,Defendant,3919,3971,66,3174,234,1,94,4,2841
1994-12,ALL,Defendant,3741,3811,68,3069,243,2,103,4,2717
1995-01,ALL,Defendant,4054,3979,76,3519,256,1,120,5,3137
1995-02,ALL,Defendant,3812,3597,59,3501,278,2,112,8,3101
1995-03,ALL,Defendant,4301,4348,59,4128,306,1,160,7,3654
1995-04,ALL,Defendant,3646,3681,53,3269,276,,137,8,2848
1995-05,ALL,Defendant,4281,4069,59,4010,345,1,169,8,3487
1995-06,ALL,Defendant,4022,3959,68,3931,356,,133,3,3439
1995-07,ALL,Defendant,3479,3444,65,3624,274,1,123,8,3218
1995-08,ALL,Defendant,4217,3842,74,4463,395,1,145,13,3909
1995-09,ALL,Defendant,3658,3599,62,3690,324,,139,11,3216
1995-10,ALL,Defendant,3940,3918,63,3828,242,1,111,4,3470
1995-11,ALL,Defendant,3581,3665,63,3122,287,1,90,6,2738
1995-12,ALL,Defendant,3362,3442,36,2922,233,,114,5,2570
1996-01,ALL,Defendant,4244,4068,69,3706,310,4,132,5,3255
1996-02,ALL,Defendant,4122,3940,101,4151,292,3,128,4,3724
1996-03,ALL,Defendant,4541,4327,54,3989,326,2,142,4,3515
1996-04,ALL,Defendant,4509,4482,64,3926,338,4,131,9,3444
1996-05,ALL,Defendant,4714,4802,99,4215,306,2,146,6,3755
1996-06,ALL,Defendant,4554,4460,94,5273,346,3,139,10,4775
1996-07,ALL,Defendant,4858,4568,62,4632,327,4,83,6,4212
1996-08,ALL,Defendant,4443,4434,85,4722,282,4,101,8,4327
1996-09,ALL,Defendant,4239,4150,57,4245,316,4,147,12,3766
1996-10,ALL,Defendant,4750,4679,58,4014,310,3,126,13,3562
1996-11,ALL,Defendant,4101,4152,61,3147,290,3,94,5,2755
1996-12,ALL,Defendant,4254,4416,77,3604,273,8,123,14,3186
1997-01,ALL,Defendant,4837,4770,69,4140,346,1,170,8,3615
1997-02,ALL,Defendant,4438,4372,52,3867,284,8,119,6,3450
1997-03,ALL,Defendant,5155,5262,52,4110,323,4,134,9,3640
1997-04,ALL,Defendant,7023,7764,57,4246,312,4,80,10,3840
1997-05,ALL,Defendant,5807,5306,137,4115,322,6,182,13,3592
1997-06,ALL,Defendant,5097,4854,114,4525,360,4,141,15,4005
1997-07,ALL,Defendant,5077,4718,70,4815,336,6,156,7,4310
1997-08,ALL,Defendant,4382,4297,81,4247,325,4,140,17,3761
1997-09,ALL,Defendant,4645,4540,68,4240,343,7,125,12,3753
1997-10,ALL,Defendant,4944,4815,39,4362,362,7,144,25,3824
1997-11,ALL,Defendant,3565,3885,46,3496,320,12,115,17,3032
1997-12,ALL,Defendant,4268,4400,53,3584,356,9,149,19,3051
1998-01,ALL,Defendant,4419,4322,96,3899,346,11,124,13,3405
1998-02,ALL,Defendant,4423,4134,95,4744,335,10,144,30,4225
1998-03,ALL,Defendant,5318,4813,70,5309,485,14,170,32,4608
1998-04,ALL,Defendant,5160,4886,117,4636,413,10,162,36,4015
1998-05,ALL,Defendant,4711,4585,66,4249,358,8,154,23,3706
1998-06,ALL,Defendant,5124,5058,88,4389,456,6,153,24,3750
1998-07,ALL,Defendant,5134,4917,63,4738,440,7,167,30,4094
1998-08,ALL,Defendant,4738,4419,96,4970,385,15,441,36,4093
1998-09,ALL,Defendant,4320,4362,139,5198,481,27,217,34,4439
1998-10,ALL,Defendant,4785,4688,74,4491,409,22,195,40,3825
1998-11,ALL,Defendant,4175,4234,60,3732,377,14,166,45,3130
1998-12,ALL,Defendant,4187,4371,66,3924,366,31,173,48,3306
1999-01,ALL,Defendant,4379,4028,64,4453,381,15,189,52,3816
1999-02,ALL,Defendant,4407,3948,75,4000,397,26,191,44,3342
1999-03,ALL,Defendant,4896,4857,107,5279,647,33,254,61,4284
1999-04,ALL,Defendant,4675,4498,112,4567,439,31,186,68,3843
1999-05,ALL,Defendant,4268,4359,93,4371,442,37,255,64,3573
1999-06,ALL,Defendant,4661,4462,116,4449,552,52,275,94,3476
1999-07,ALL,Defendant,4435,4154,127,5053,568,80,285,139,3981
1999-08,ALL,Defendant,4409,4190,85,4633,694,118,327,185,3309
1999-09,ALL,Defendant,4049,3935,116,5046,964,119,411,174,3378
1999-10,ALL,Defendant,3954,3889,66,4072,1075,221,587,364,1825
1999-11,ALL,Defendant,3829,3805,58,3862,1076,238,556,351,1641
1999-12,ALL,Defendant,3894,4016,56,4103,1071,293,514,352,1873
2000-01,ALL,Defendant,4207,4031,63,3861,996,283,591,374,1617
2000-02,ALL,Defendant,4159,3986,94,4221,1173,289,520,388,1851
2000-03,ALL,Defendant,4652,4510,178,6097,1798,330,980,600,2389
2000-04,ALL,Defendant,4065,4104,90,4215,981,269,514,491,1960
2000-05,ALL,Defendant,4825,4784,67,5616,1147,273,557,501,3138
2000-06,ALL,Defendant,4894,4834,67,5220,1139,297,698,728,2358
2000-07,ALL,Defendant,4291,4176,98,3877,1032,273,486,421,1665
2000-08,ALL,Defendant,4991,4757,86,4531,1179,288,625,399,2040
2000-09,ALL,Defendant,4253,4403,115,4217,1288,251,639,405,1634
2000-10,ALL,Defendant,4869,4835,93,3859,1023,220,527,404,1685
2000-11,ALL,Defendant,4530,4471,86,3672,985,202,610,474,1401
2000-12,ALL,Defendant,4012,4080,52,3676,923,216,441,391,1705
2001-01,ALL,Defendant,4892,4670,99,4230,1116,287,581,433,1813
2001-02,ALL,Defendant,4336,4213,84,3693,1088,219,608,399,1379
2001-03,ALL,Defendant,4925,4941,114,4880,1478,254,778,447,1923
2001-04,ALL,Defendant,4539,4453,99,3851,1081,223,585,442,1520
2001-05,ALL,Defendant,4890,4947,62,4354,1115,261,744,478,1756
2001-06,ALL,Defendant,5270,5248,83,4976,1083,225,573,409,2686
2001-07,ALL,Defendant,4698,4658,85,5355,1251,231,655,426,2792
2001-08,ALL,Defendant,4885,4913,90,5896,1346,233,622,500,3195
2001-09,ALL,Defendant,3857,3950,101,4362,1443,171,690,468,1590
2001-10,ALL,Defendant,5046,4836,95,4472,1235,226,577,438,1996
2001-11,ALL,Defendant,4257,4558,54,4489,1163,205,560,434,2127
2001-12,ALL,Defendant,3965,3905,52,3453,1028,178,513,378,1356
2002-01,ALL,Defendant,4622,4565,73,4368,1320,217,613,454,1764
2002-02,ALL,Defendant,4310,4152,51,3876,1191,195,544,396,1550
2002-03,ALL,Defendant,4640,4847,66,4687,1728,233,709,438,1579
2002-04,ALL,Defendant,5129,5188,104,4420,1181,207,535,502,1995
2002-05,ALL,Defendant,4853,5060,86,5512,1210,225,553,505,3019
2002-06,ALL,Defendant,5338,4650,90,4993,1191,185,500,420,2697
2002-07,ALL,Defendant,5408,4880,96,5709,1369,211,601,538,2990
2002-08,ALL,Defendant,5164,4769,200,5598,1432,208,681,535,2742
2002-09,ALL,Defendant,4728,4490,115,4625,1463,199,711,513,1739
2002-10,ALL,Defendant,4994,4937,103,4235,1314,215,513,520,1673
2002-11,ALL,Defendant,4567,4396,57,3580,1011,181,502,447,1439
2002-12,ALL,Defendant,4254,4583,57,3501,1069,201,505,442,1284
2003-01,ALL,Defendant,5172,4664,60,4470,1278,220,552,536,1884
2003-02,ALL,Defendant,4232,4433,55,4319,1181,215,567,523,1833
2003-03,ALL,Defendant,4993,4693,63,5163,1699,207,766,552,1939
2003-04,ALL,Defendant,4816,4917,121,4655,1321,236,660,570,1868
2003-05,ALL,Defendant,4835,4809,59,4495,1150,200,583,575,1987
2003-06,ALL,Defendant,4833,4628,79,4626,1245,200,533,506,2142
2003-07,ALL,Defendant,4713,4656,117,5028,1407,188,644,692,2097
2003-08,ALL,Defendant,4543,4416,105,4340,1232,187,553,468,1900
2003-09,ALL,Defendant,4646,4690,135,5070,1521,229,743,724,1853
2003-10,ALL,Defendant,5057,4772,75,4325,1224,199,564,584,1754
2003-11,ALL,Defendant,3763,3832,44,3950,999,176,542,561,1672
2003-12,ALL,Defendant,4358,4329,75,3815,1066,195,481,456,1617
2004-01,ALL,Defendant,4344,4158,64,4133,1241,166,567,530,1629
2004-02,ALL,Defendant,4118,3868,77,5468,1402,185,768,600,2513
2004-03,ALL,Defendant,5017,4704,122,6601,1943,263,1078,713,2604
2004-04,ALL,Defendant,4485,4443,72,4415,1286,178,712,593,1646
2004-05,ALL,Defendant,4331,4300,62,3683,1243,173,512,462,1293
2004-06,ALL,Defendant,4705,4691,68,4029,1167,179,595,575,1513
2004-07,ALL,Defendant,4911,4870,66,4635,1296,167,533,448,2191
2004-08,ALL,Defendant,5276,5163,94,4641,1472,185,716,698,1570
2004-09,ALL,Defendant,4871,4904,122,5062,1850,179,895,606,1532
2004-10,ALL,Defendant,5007,4967,81,4138,1260,159,764,614,1341
2004-11,ALL,Defendant,4850,4932,75,4377,1562,157,835,482,1341
2004-12,ALL,Defendant,4634,4592,64,4233,1554,173,701,491,1314
2005-01,ALL,Defendant,4943,4643,64,4911,1671,176,708,608,1748
2005-02,ALL,Defendant,4544,4393,61,3906,1360,182,538,519,1307
2005-03,ALL,Defendant,5298,5122,129,6601,2327,254,844,972,2204
2005-04,ALL,Defendant,4804,4641,109,5025,1472,245,656,882,1770
2005-05,ALL,Defendant,4713,4750,79,4714,1366,226,700,747,1675
2005-06,ALL,Defendant,4789,4738,84,5710,1569,199,658,948,2336
2005-07,ALL,Defendant,4084,4192,69,4368,1475,163,734,573,1423
2005-08,ALL,Defendant,4757,4612,111,4745,1635,188,608,683,1631
2005-09,ALL,Defendant,4223,4191,134,4875,1688,182,843,641,1521
2005-10,ALL,Defendant,4364,4233,70,3727,1192,173,510,456,1396
2005-11,ALL,Defendant,4167,4020,61,3615,1183,171,550,420,1291
2005-12,ALL,Defendant,4109,3979,79,3799,1240,160,508,518,1373
2006-01,ALL,Defendant,4654,4554,78,4316,1325,184,602,621,1584
2006-02,ALL,Defendant,3966,3815,71,3890,1300,178,533,536,1343
2006-03,ALL,Defendant,4884,4710,135,5855,2087,209,980,649,1930
2006-04,ALL,Defendant,4109,3993,71,4153,1134,173,544,579,1723
2006-05,ALL,Defendant,4487,4293,74,4911,1292,182,601,683,2153
2006-06,ALL,Defendant,4418,4322,80,4602,1374,178,599,627,1824
2006-07,ALL,Defendant,3963,3843,84,4088,1211,174,594,651,1458
2006-08,ALL,Defendant,4782,4943,87,4786,1551,175,723,681,1656
2006-09,ALL,Defendant,4436,4475,100,4776,1574,198,779,602,1623
2006-10,ALL,Defendant,4972,4877,86,4535,1209,190,543,676,1917
2006-11,ALL,Defendant,4511,4530,64,3953,1098,141,492,749,1473
2006-12,ALL,Defendant,4220,4287,49,4223,974,145,484,605,2015
2007-01,ALL,Defendant,4740,4655,72,4616,1326,192,761,775,1562
2007-02,ALL,Defendant,4525,4177,73,3939,1096,148,536,605,1554
2007-03,ALL,Defendant,4762,4868,114,5767,1735,222,801,1012,1997
2007-04,ALL,Defendant,4754,4495,86,4533,1120,169,534,864,1846
2007-05,ALL,Defendant,4772,4725,76,4699,1286,191,598,828,1796
2007-06,ALL,Defendant,4565,4665,70,4858,1205,196,566,890,2001
2007-07,ALL,Defendant,4701,4820,58,4442,1322,190,539,728,1663
2007-08,ALL,Defendant,5164,5385,87,4986,1358,177,703,729,2019
2007-09,ALL,Defendant,4329,4501,110,4662,1553,206,816,655,1432
2007-10,ALL,Defendant,5640,5469,64,4838,1305,218,613,803,1899
2007-11,ALL,Defendant,5061,5080,55,4298,1102,153,492,804,1747
2007-12,ALL,Defendant,4621,4850,35,4078,1048,147,467,730,1686
2008-01,ALL,Defendant,6618,6522,67,4946,1375,207,639,892,1833
2008-02,ALL,Defendant,10335,10206,67,5258,1490,223,1039,840,1666
2008-03,ALL,Defendant,12883,12556,140,8386,2528,283,2585,794,2196
2008-04,ALL,Defendant,9031,8715,104,7703,2266,205,2067,1053,2112
2008-05,ALL,Defendant,6951,6799,66,7985,1983,179,1871,977,2975
2008-06,ALL,Defendant,6318,6077,74,7757,2012,197,1679,1008,2861
2008-07,ALL,Defendant,5947,5804,109,6598,1900,183,1362,953,2200
2008-08,ALL,Defendant,5648,6021,103,5413,1890,161,1071,759,1532
2008-09,ALL,Defendant,6459,5428,81,6279,2069,184,1020,740,2266
2008-10,ALL,Defendant,5709,5627,85,6263,1706,171,898,827,2661
2008-11,ALL,Defendant,4614,4721,58,3997,1195,135,629,566,1472
2008-12,ALL,Defendant,4862,4923,63,5184,1304,187,697,1148,1848
2009-01,ALL,Defendant,5386,5258,80,4847,1373,157,730,726,1861
2009-02,ALL,Defendant,5047,5059,72,5496,1452,151,828,1025,2040
2009-03,ALL,Defendant,5949,5817,166,6539,2129,190,1029,859,2332
2009-04,ALL,Defendant,5586,5551,95,5680,1492,167,654,808,2559
2009-05,ALL,Defendant,5066,5147,59,4516,1265,141,586,589,1935
2009-06,ALL,Defendant,5872,5937,113,5734,1540,172,685,987,2350
2009-07,ALL,Defendant,5735,5976,69,5778,1556,192,869,903,2258
2009-08,ALL,Defendant,5664,5528,108,5301,1407,170,636,752,2336
2009-09,ALL,Defendant,5656,5374,161,5426,1692,181,787,627,2139
2009-10,ALL,Defendant,5838,5727,56,7391,1132,184,593,674,4808
2009-11,ALL,Defendant,5162,5151,32,3782,1047,118,444,566,1607
2009-12,ALL,Defendant,5838,5779,54,4566,1270,159,548,693,1896
2010-01,ALL,Defendant,5401,5326,138,4282,1238,158,520,659,1707
2010-02,ALL,Defendant,5144,5229,53,4496,1311,149,542,662,1832
2010-03,ALL,Defendant,6074,6175,94,7381,2322,178,932,1149,2800
2010-04,ALL,Defendant,5714,5770,152,5407,1232,186,551,890,2548
2010-05,ALL,Defendant,5473,5319,71,4543,1244,143,553,805,1798
2010-06,ALL,Defendant,6083,5975,48,5054,1429,134,628,996,1867
2010-07,ALL,Defendant,5624,5624,53,5035,1377,142,567,715,2234
2010-08,ALL,Defendant,5913,5897,137,5506,1431,132,680,827,2436
2010-09,ALL,Defendant,5780,5957,113,6015,1743,163,758,818,2533
2010-10,ALL,Defendant,6003,5771,66,4445,1142,171,459,728,1945
2010-11,ALL,Defendant,5467,5139,52,4703,1292,133,501,890,1887
2010-12,ALL,Defendant,5068,5131,80,4635,1176,130,450,811,2068
2011-01,ALL,Defendant,5574,5057,35,4570,1276,142,543,963,1646
2011-02,ALL,Defendant,4728,4617,36,5298,1433,123,691,750,2301
2011-03,ALL,Defendant,6074,5755,83,10486,1895,219,1014,1888,5470
2011-04,ALL,Defendant,5381,5123,49,6325,1158,128,475,886,3678
2011-05,ALL,Defendant,5115,5096,34,6210,1136,137,446,869,3622
2011-06,ALL,Defendant,5308,5401,51,4623,1295,136,547,848,1797
2011-07,ALL,Defendant,5448,5550,45,4201,1256,144,493,677,1631
2011-08,ALL,Defendant,6522,6406,62,6024,1675,168,1110,867,2204
2011-09,ALL,Defendant,6026,6179,89,5837,1715,153,908,883,2178
2011-10,ALL,Defendant,7521,7676,53,4999,1211,114,845,787,2042
2011-11,ALL,Defendant,8223,8377,39,5843,1536,152,1509,765,1881
2011-12,ALL,Defendant,6290,6353,32,5101,1403,163,924,827,1784
2012-01,ALL,Defendant,6633,6366,70,5933,1731,131,1278,855,1938
2012-02,ALL,Defendant,6053,6014,92,6329,1867,133,888,1042,2399
2012-03,ALL,Defendant,6360,6417,104,7102,2248,176,1203,968,2507
2012-04,ALL,Defendant,6228,6089,57,5273,1677,131,749,747,1969
2012-05,ALL,Defendant,6366,6666,48,5321,1515,131,643,900,2132
2012-06,ALL,Defendant,6431,6548,32,5821,1500,135,633,904,2649
2012-07,ALL,Defendant,6932,6882,38,5568,1548,142,636,1097,2145
2012-08,ALL,Defendant,6960,6928,50,6560,1869,152,843,1262,2434
2012-09,ALL,Defendant,5768,6002,79,5745,1875,158,839,710,2163
2012-10,ALL,Defendant,7425,7282,24,5328,1356,145,584,891,2352
2012-11,ALL,Defendant,6301,6187,23,5216,1284,154,507,863,2408
2012-12,ALL,Defendant,5627,5456,34,4461,1127,119,473,610,2132
2013-01,ALL,Defendant,6602,6424,59,5948,1697,170,664,882,2535
2013-02,ALL,Defendant,6029,5981,52,6019,1501,111,648,835,2924
2013-03,ALL,Defendant,6664,6662,50,6977,2142,170,1035,793,2837
2013-04,ALL,Defendant,6672,6757,78,13495,1561,152,682,803,10297
2013-05,ALL,Defendant,6821,6859,30,6037,1419,127,602,824,3065
2013-06,ALL,Defendant,6425,6452,34,5492,1309,174,601,952,2456
2013-07,ALL,Defendant,6869,6697,31,6347,1536,200,738,939,2934
2013-08,ALL,Defendant,6653,6658,39,6077,1605,207,915,743,2607
2013-09,ALL,Defendant,6086,5946,69,6401,2038,174,1015,721,2453
2013-10,ALL,Defendant,6565,6576,35,4542,1160,148,518,563,2153
2013-11,ALL,Defendant,5501,5459,40,5302,1262,107,569,667,2697
2013-12,ALL,Defendant,5398,5487,41,5101,1228,112,570,831,2360
2014-01,ALL,Defendant,5835,5729,62,5321,1392,132,640,803,2354
2014-02,ALL,Defendant,5271,5281,41,5654,1509,140,687,679,2639
2014-03,ALL,Defendant,5955,6045,107,7674,2110,175,1186,1017,3186
2014-04,ALL,Defendant,6472,6277,48,5546,1319,170,592,873,2592
2014-05,ALL,Defendant,6148,5946,62,5484,1313,133,606,706,2726
2014-06,ALL,Defendant,6339,6157,42,5693,1473,153,631,882,2554
2014-07,ALL,Defendant,6014,5898,59,5757,1613,121,651,663,2709
2014-08,ALL,Defendant,5890,5774,47,5688,1723,127,678,810,2350
2014-09,ALL,Defendant,6301,6042,100,6742,2099,124,1121,808,2590
2014-10,ALL,Defendant,7865,7811,38,6618,1387,143,739,841,3508
2014-11,ALL,Defendant,8507,8929,29,4800,1124,121,635,604,2316
2014-12,ALL,Defendant,8195,8021,30,5280,1385,121,910,782,2082
2015-01,ALL,Defendant,7817,7571,61,6266,1623,152,1172,731,2588
2015-02,ALL,Defendant,7148,7024,48,7600,1673,119,1340,845,3623
2015-03,ALL,Defendant,7904,7576,60,9324,2502,158,2086,1150,3428
2015-04,ALL,Defendant,7347,7329,91,8577,1675,142,1716,1061,3983
2015-05,ALL,Defendant,6561,6820,77,7028,1545,156,1391,1074,2862
2015-06,ALL,Defendant,7485,7175,59,8634,1987,182,1594,1043,3828
2015-07,ALL,Defendant,7109,6974,73,7995,1791,142,1537,824,3701
2015-08,ALL,Defendant,6480,6310,57,7334,1873,115,1292,714,3340
2015-09,ALL,Defendant,6334,6346,77,12636,2330,135,1547,893,7731
2015-10,ALL,Defendant,7175,6669,53,6725,1759,113,1323,1003,2527
2015-11,ALL,Defendant,5959,5876,52,5790,1565,131,977,919,2198
2015-12,ALL,Defendant,6117,5974,49,5943,1549,143,966,691,2594
2016-01,ALL,Defendant,5673,5493,56,5877,1535,104,963,712,2563
2016-02,ALL,Defendant,6157,5986,54,6070,1777,144,934,576,2639
2016-03,ALL,Defendant,6447,6392,76,7554,2448,147,1305,705,2949
2016-04,ALL,Defendant,6406,6121,59,5447,1363,143,877,678,2386
2016-05,ALL,Defendant,7256,7300,33,5713,1503,130,853,584,2643
2016-06,ALL,Defendant,13277,13738,42,6195,1492,170,936,806,2791
2016-07,ALL,Defendant,6237,5971,51,6525,1649,96,869,706,3205
2016-08,ALL,Defendant,7023,6668,37,7306,1996,141,1115,734,3320
2016-09,ALL,Defendant,5778,5761,71,6952,2150,132,1299,812,2559
2016-10,ALL,Defendant,5934,5648,31,5489,1411,117,752,740,2469
2016-11,ALL,Defendant,5206,5154,58,5060,1365,105,684,725,2181
2016-12,ALL,Defendant,5016,5041,27,5058,1349,115,746,714,2134
2017-01,ALL,Defendant,5347,5150,36,6012,1566,107,917,612,2810
2017-02,ALL,Defendant,5157,5131,32,5646,1654,123,769,670,2430
2017-03,ALL,Defendant,5809,5836,255,9178,2931,138,1390,1388,3331
2017-04,ALL,Defendant,5315,5058,44,5939,1602,96,703,1007,2531
2017-05,ALL,Defendant,5641,5666,69,5906,1783,129,710,993,2291
2017-06,ALL,Defendant,5554,5450,159,6002,1656,123,767,813,2643
2017-07,ALL,Defendant,4905,4888,29,5109,1442,96,812,803,1956
2017-08,ALL,Defendant,5447,5410,65,5963,1853,126,971,744,2269
2017-09,ALL,Defendant,4640,4530,189,6376,2027,118,1250,780,2201
2017-10,ALL,Defendant,4964,5011,101,4675,1300,122,724,684,1845
2017-11,ALL,Defendant,4646,4640,18,4738,1186,127,679,719,2027
2017-12,ALL,Defendant,4352,4380,17,4955,1046,127,682,633,2467
2018-01,ALL,Defendant,5384,5241,28,4828,1319,104,862,710,1833
2018-02,ALL,Defendant,4842,4766,24,5232,1390,111,734,664,2333
2018-03,ALL,Defendant,5379,5176,41,7182,2278,146,1230,854,2674
2018-04,ALL,Defendant,5154,5059,45,4779,1142,107,720,750,2060
2018-05,ALL,Defendant,5367,5425,28,5108,1267,130,715,710,2286
2018-06,ALL,Defendant,5151,5221,60,4897,1217,139,593,765,2183
2018-07,ALL,Defendant,5135,4937,16,5338,1283,105,754,761,2435
2018-08,ALL,Defendant,5349,5252,24,5614,1537,129,812,793,2343
2018-09,ALL,Defendant,4420,4214,46,6004,1945,107,949,581,2422
2018-10,ALL,Defendant,5228,5101,27,5069,1213,167,677,693,2319
2018-11,ALL,Defendant,4529,4675,41,4364,1105,116,611,775,1757
2018-12,ALL,Defendant,4146,4246,16,3453,911,96,583,491,1372
2019-01,ALL,Defendant,5301,5758,6,3556,1071,55,630,628,1172
2019-02,ALL,Defendant,5939,5476,22,5708,1410,97,907,672,2622
2019-03,ALL,Defendant,5963,5535,38,21832,2183,121,1388,801,17339
2019-04,ALL,Defendant,5714,5725,30,5437,1381,124,822,746,2364
2019-05,ALL,Defendant,5671,5711,18,5601,1338,150,802,701,2610
2019-06,ALL,Defendant,5013,5103,24,8928,1328,141,875,637,5947
2019-07,ALL,Defendant,5438,5238,37,5526,1463,142,831,683,2407
2019-08,ALL,Defendant,5485,5461,39,5803,1664,153,927,744,2315
2019-09,ALL,Defendant,5275,4940,72,6375,1989,124,1106,720,2436
2019-10,ALL,Defendant,5315,5435,71,5256,1073,137,686,1108,2252
2019-11,ALL,Defendant,4827,4915,62,3984,923,118,653,716,1574
2019-12,ALL,Defendant,4656,4597,45,4307,1042,141,709,716,1699
2020-01,ALL,Defendant,5593,5172,29,5723,1343,153,913,862,2452
2020-02,ALL,Defendant,4849,4669,42,5131,1292,124,933,764,2018
2020-03,ALL,Defendant,4382,4641,55,6023,1840,114,1142,660,2267
2020-04,ALL,Defendant,5420,6076,13,4324,1588,100,835,528,1273
2020-05,ALL,Defendant,6453,6810,14,4608,1857,110,813,497,1331
2020-06,ALL,Defendant,7244,7701,21,5288,2357,107,965,617,1242
2020-07,ALL,Defendant,7042,7040,16,5423,2247,124,956,578,1518
2020-08,ALL,Defendant,6701,6773,27,5899,2460,115,877,528,1919
2020-09,ALL,Defendant,6703,6500,46,5748,2590,111,981,669,1397
2020-10,ALL,Defendant,6557,6161,18,5862,2247,153,707,658,2097
2020-11,ALL,Defendant,5182,5233,19,4514,1902,116,656,525,1315
2020-12,ALL,Defendant,5781,5763,23,4745,2009,108,667,503,1458
2021-01,ALL,Defendant,5499,5208,27,4838,2059,130,647,542,1460
2021-02,ALL,Defendant,4811,4366,28,4664,1928,104,711,546,1375
2021-03,ALL,Defendant,5364,5195,67,6404,2804,170,1107,765,1558
2021-04,ALL,Defendant,4530,4346,27,4874,1874,111,663,669,1557
2021-05,ALL,Defendant,3964,3830,38,4544,1553,153,631,520,1687
2021-06,ALL,Defendant,4067,3943,25,4540,1588,117,611,660,1564
2021-07,ALL,Defendant,3804,3576,18,4764,1451,117,721,745,1730
2021-08,ALL,Defendant,3962,4081,34,6117,1543,185,796,741,2852
2021-09,ALL,Defendant,4145,4019,50,6887,1886,149,997,733,3122
2021-10,ALL,Defendant,4029,3885,32,5154,1265,121,673,789,2306
2021-11,ALL,Defendant,3767,3769,37,4595,1210,127,652,642,1964
2021-12,ALL,Defendant,3516,3588,16,4643,1119,126,647,711,2040
2022-01,ALL,Defendant,3999,4041,23,4808,1363,121,669,682,1973
2022-02,ALL,Defendant,3979,3784,31,4504,1375,103,749,646,1631
2022-03,ALL,Defendant,4608,4889,47,6395,2295,123,1105,785,2087
2022-04,ALL,Defendant,4442,4410,32,4651,1164,119,577,826,1965
2022-05,ALL,Defendant,4605,4523,33,4904,1121,126,586,806,2265
2022-06,ALL,Defendant,4910,4657,37,4841,1207,135,596,926,1977
2022-07,ALL,Defendant,4139,4146,22,4173,1307,104,598,928,1236
2022-08,ALL,Defendant,5233,5086,44,5455,1618,152,741,1029,1915
2022-09,ALL,Defendant,4760,4747,35,6291,2128,143,980,1010,2030
2022-10,ALL,Defendant,4759,4986,25,4233,983,96,449,1020,1685
2022-11,ALL,Defendant,4641,4808,30,4553,1110,131,426,1005,1881
2022-12,ALL,Defendant,4616,4778,21,3886,985,147,425,913,1416
2023-01,ALL,Defendant,5200,5209,24,5176,1271,131,582,1027,2165
2023-02,ALL,Defendant,5264,5119,15,4547,1136,114,604,928,1765
2023-03,ALL,Defendant,6753,6033,34,6272,1656,119,897,1137,2463
2023-04,ALL,Defendant,5142,4995,19,4653,1081,102,408,1132,1930
2023-05,ALL,Defendant,5506,5598,13,5012,1189,116,560,1347,1800
2023-06,ALL,Defendant,5529,5358,22,4901,1144,125,496,1296,1840
2023-07,ALL,Defendant,4934,4544,16,4730,1195,90,467,1249,1729
2023-08,ALL,Defendant,5497,5476,32,5532,1457,153,643,1341,1938
2023-09,ALL,Defendant,4759,4785,37,6249,1609,174,686,1242,2538
2023-10,ALL,Defendant,5390,5427,7,4737,985,162,425,1202,1963
2023-11,ALL,Defendant,7484,8094,17,4411,993,145,378,1044,1851
2023-12,ALL,Defendant,6641,6768,17,4651,1088,164,763,970,1666
2024-01,ALL,Defendant,7859,7952,17,6635,1594,199,1443,1103,2296
2024-02,ALL,Defendant,7430,7399,21,6658,1941,147,1390,1091,2089
2024-03,ALL,Defendant,7028,7031,43,7805,2396,186,1149,1279,2795
2024-04,ALL,Defendant,7148,7028,27,6543,2026,194,834,1347,2142
2024-05,ALL,Defendant,6580,6415,10,6238,1952,231,738,1316,2001
2024-06,ALL,Defendant,5171,5422,27,5336,1562,154,591,1084,1945
2024-07,ALL,Defendant,6363,6538,15,5840,1690,178,660,1325,1987
2024-08,ALL,Defendant,6234,6339,23,5742,1702,156,745,1288,1851
2024-09,ALL,Defendant,6024,5929,29,5998,1697,248,680,1273,2100
2024-10,ALL,Defendant,6208,6206,17,5056,1390,187,635,1331,1513
2024-11,ALL,Defendant,5619,5400,15,4128,1097,148,437,1033,1413
2024-12,ALL,Defendant,5642,5698,10,4340,1039,133,478,1108,1582
2025-01,ALL,Defendant,6061,6372,14,4951,1347,171,493,1204,1736
2025-02,ALL,Defendant,5695,5797,25,5073,1378,151,472,1287,1785
2025-03,ALL,Defendant,6542,6209,45,7371,1795,192,719,1543,3122
2025-04,ALL,Defendant,6640,6278,18,5621,1315,170,543,1316,2277
2025-05,ALL,Defendant,5926,6126,18,4872,1189,150,476,1255,1802
2025-06,ALL,Defendant,5847,5980,25,4413,1032,162,434,1192,1593
2025-07,ALL,Defendant,6426,6422,18,4942,1208,151,465,1243,1875
2025-08,ALL,Defendant,6314,6448,27,4862,1241,132,436,1160,1893
2025-09,ALL,Defendant,7122,7228,24,5193,1404,137,518,1154,1980
2025-10,ALL,Defendant,7790,8247,12,3982,945,55,450,953,1579
2025-11,ALL,Defendant,7980,7722,12,3539,676,57,456,684,1666
2025-12,ALL,Defendant,9054,9121,12,4047,938,75,807,814,1413
2026-01,ALL,Defendant,11105,11406,18,4652,1069,75,1405,764,1339
